# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0000000000       97.2664449316        0.0000000000523321249.8926005363        0.0000000000
          2        0.0025284258        0.0025303005        0.0015860880     5222.2168861806        0.0000000000
          3        0.0101105573        0.0101184795        0.0063417549    20869.4061495127        0.0000000000
          4        0.0227404296        0.0227593015        0.0142590151    46897.3066790227        0.0000000000
          5        0.0404120585        0.0404471783        0.0253183310    83248.2934244030        0.0000000000
          6        0.0631157207        0.0631736334        0.0394920101   129840.4393168283        0.0000000000
          7        0.0908416405        0.0909314713        0.0567472354   186575.8447358160        0.0000000000
          8        0.1235761116        0.1237056138        0.0770424936   253317.2753674628        0.0000000000
          9        0.1613322543        0.1614913840        0.1003014466   329918.8271269145        0.0000000000
         10        0.2040310663        0.2042409382        0.1265315171   416163.3890109252        0.0000000000
         11        0.2516814009        0.2519669824        0.1556410054   511930.0290055338        0.0000000000
         12        0.3043176342        0.3046495155        0.1875072117   616943.5102523540        0.0000000000
         13        0.3618186021        0.3622290370        0.2221514930   730974.3738282241        0.0000000000
         14        0.4242388917        0.4247313080        0.2594130571   853813.8963516991        0.0000000000
         15        0.4914979285        0.4920878987        0.2992563796   985146.4931713134        0.0000000000
         16        0.5636153825        0.5643062762        0.3415407652  1124712.1681045853        0.0000000000
         17        0.6404974229        0.6413120321        0.3862280168  1272177.1631657465        0.0000000000
         18        0.7221880783        0.7231199341        0.4331374910  1427224.7823622643        0.0000000000
         19        0.8085689961        0.8096401499        0.4822418762  1589509.0118101996        0.0000000000
         20        0.8996361049        0.9008662641        0.5333931281  1758699.5811772549        0.0000000000
         21        0.9953880542        0.9967687353        0.5864340445  1934391.4444250050        0.0000000000
         22        1.0957075999        1.0972630901        0.6413187612  2116235.1276316843        0.0000000000
         23        1.2005756859        1.2023190403        0.6978942813  2303817.7924947976        0.0000000000
         24        1.3099548678        1.3118984160        0.7560226437  2496758.3561734660        0.0000000000
         25        1.4237917562        1.4259460641        0.8155745764  2694636.3490202371        0.0000000000
         26        1.5420244014        1.5444028402        0.8764270618  2897034.3165717516        0.0000000000
         27        1.6645700985        1.6671883248        0.9384697377  3103518.2123827087        0.0000000000
         28        1.7913861477        1.7942574261        1.0015502648  3313658.6068098494        0.0000000000
         29        1.9224093791        1.9255465707        1.0655309288  3527023.6856287154        0.0000000000
         30        2.0575686556        2.0609848937        1.1302798069  3743172.6178229093        0.0000000000
         31        2.1967871084        2.2004959253        1.1956657223  3961661.8668429619        0.0000000000
         32        2.3399875908        2.3440025118        1.2615551634  4182048.4955762671        0.0000000000
         33        2.4870896258        2.4914239933        1.3278140010  4403889.4391688490        0.0000000000
         34        2.6380084875        2.6426755143        1.3943100765  4626743.9158934802        0.0000000000
         35        2.7926566679        2.7976693289        1.4609124609  4850174.4065510649        0.0000000000
         36        2.9509415671        2.9563124665        1.5274907167  5073744.6356963208        0.0000000000
         37        3.1127664189        3.1185080810        1.5939200249  5297028.7896491587        0.0000000000
         38        3.2780396987        3.2841628566        1.6600648477  5519592.3788648155        0.0000000000
         39        3.4466410875        3.4531581908        1.7258190304  5741034.4712929213        0.0000000000
         40        3.6184562034        3.6253798138        1.7910677426  5960950.0619726051        0.0000000000
         41        3.7933821416        3.8007228816        1.8556855822  6178935.8710483257        0.0000000000
         42        3.9713019686        3.9790694669        1.9195574140  6394603.8659394626        0.0000000000
         43        4.1520902451        4.1602940302        1.9825799016  6607586.0293114651        0.0000000000
         44        4.3356174010        4.3442662419        2.0446485334  6817517.9895291571        0.0000000000
         45        4.5217739135        4.5308726874        2.1056435271  7024023.3854608173        0.0000000000
         46        4.7103629557        4.7199238060        2.1655240325  7226843.4913933175        0.0000000000
         47        4.9012668832        4.9112975967        2.2241776679  7425627.4439856466        0.0000000000
         48        5.0943526913        5.1048606854        2.2815059811  7620073.5267434949        0.0000000000
