# Iteration        Mass Balance        Mass storage      Energy balance   Fluid energy stor   Solid energy stor
          1        0.0000000000        0.0000000000        0.0000000000        0.0000010037        0.0000000000
          2        0.0025298573        0.0000000000        0.0015846564        0.0000010013        0.0000000000
          3        0.0101173185        0.0000000000        0.0063349940        0.0000010015        0.0000000000
          4        0.0227584324        0.0000000000        0.0142415588        0.0000010016        0.0000000000
          5        0.0404485282        0.0000000000        0.0252851712        0.0000010016        0.0000000000
          6        0.0631792804        0.0000000000        0.0394387754        0.0000010015        0.0000000000
          7        0.0909425740        0.0000000000        0.0566697435        0.0000010015        0.0000000000
          8        0.1237264164        0.0000000000        0.0769366159        0.0000010015        0.0000000000
          9        0.1615361199        0.0000000000        0.1001726194        0.0000010015        0.0000000000
         10        0.2043121081        0.0000000000        0.1263675810        0.0000010016        0.0000000000
         11        0.2520633206        0.0000000000        0.1554313113        0.0000010014        0.0000000000
         12        0.3048031601        0.0000000000        0.1872636081        0.0000010015        0.0000000000
         13        0.3624371357        0.0000000000        0.2218609062        0.0000010014        0.0000000000
         14        0.4250082035        0.0000000000        0.2590753142        0.0000010014        0.0000000000
         15        0.4924443676        0.0000000000        0.2988642601        0.0000010012        0.0000000000
         16        0.5647566676        0.0000000000        0.3410968596        0.0000010016        0.0000000000
         17        0.6418668786        0.0000000000        0.3857206888        0.0000010016        0.0000000000
         18        0.7238025486        0.0000000000        0.4325724230        0.0000010017        0.0000000000
         19        0.8104629619        0.0000000000        0.4816084366        0.0000010015        0.0000000000
         20        0.9018440002        0.0000000000        0.5326815076        0.0000010017        0.0000000000
         21        0.9979274809        0.0000000000        0.5856517898        0.0000010017        0.0000000000
         22        1.0986150001        0.0000000000        0.6404556733        0.0000010019        0.0000000000
         23        1.2038894962        0.0000000000        0.6969385918        0.0000010018        0.0000000000
         24        1.3137060718        0.0000000000        0.7549703628        0.0000010021        0.0000000000
         25        1.4280093239        0.0000000000        0.8144239434        0.0000010021        0.0000000000
         26        1.5467408002        0.0000000000        0.8751731251        0.0000010021        0.0000000000
         27        1.6698266596        0.0000000000        0.9370989195        0.0000010022        0.0000000000
         28        1.7972212689        0.0000000000        1.0000517557        0.0000010024        0.0000000000
         29        1.9288571958        0.0000000000        1.0638978352        0.0000010026        0.0000000000
         30        2.0646636444        0.0000000000        1.1285045980        0.0000010028        0.0000000000
         31        2.2045657729        0.0000000000        1.1937384020        0.0000010027        0.0000000000
         32        2.3484873207        0.0000000000        1.2594643081        0.0000010029        0.0000000000
         33        2.4963474297        0.0000000000        1.3255478187        0.0000010031        0.0000000000
         34        2.6480609181        0.0000000000        1.3918563972        0.0000010029        0.0000000000
         35        2.8035397833        0.0000000000        1.4582586664        0.0000010034        0.0000000000
         36        2.9626905278        0.0000000000        1.5246238886        0.0000010034        0.0000000000
         37        3.1254161081        0.0000000000        1.5908264659        0.0000010037        0.0000000000
         38        3.2916215398        0.0000000000        1.6567326786        0.0000010039        0.0000000000
         39        3.4611884866        0.0000000000        1.7222332860        0.0000010037        0.0000000000
         40        3.6340047482        0.0000000000        1.7872097832        0.0000010041        0.0000000000
         41        3.8099632795        0.0000000000        1.8515391299        0.0000010044        0.0000000000
         42        3.9889424122        0.0000000000        1.9151088308        0.0000010046        0.0000000000
         43        4.1708158037        0.0000000000        1.9778148384        0.0000010047        0.0000000000
         44        4.3554526792        0.0000000000        2.0395515956        0.0000010048        0.0000000000
         45        4.5427369211        0.0000000000        2.1002037840        0.0000010056        0.0000000000
         46        4.7324794655        0.0000000000        2.1597212027        0.0000010049        0.0000000000
         47        4.9245631641        0.0000000000        2.2179889662        0.0000010056        0.0000000000
         48        5.1188426343        0.0000000000        2.2749179395        0.0000010061        0.0000000000
         49        5.3151560430        0.0000000000        2.3304334047        0.0000010061        0.0000000000
         50        5.5133514937        0.0000000000        2.3844550973        0.0000010062        0.0000000000
         51        5.7132442046        0.0000000000        2.4369309558        0.0000010069        0.0000000000
         52        5.9146484619        0.0000000000        2.4878120904        0.0000010067        0.0000000000
         53        6.1174079687        0.0000000000        2.5370239751        0.0000010070        0.0000000000
         54        6.3213391184        0.0000000000        2.5845164993        0.0000010075        0.0000000000
         55        6.5262478817        0.0000000000        2.6302521332        0.0000010078        0.0000000000
         56        6.7319552142        0.0000000000        2.6741809304        0.0000010079        0.0000000000
         57        6.9382276832        0.0000000000        2.7163028953        0.0000010081        0.0000000000
         58        7.1448667034        0.0000000000        2.7565888296        0.0000010085        0.0000000000
         59        7.3516767909        0.0000000000        2.7950075669        0.0000010087        0.0000000000
         60        7.5584407884        0.0000000000        2.8315502557        0.0000010091        0.0000000000
         61        7.7649354270        0.0000000000        2.8662163929        0.0000010091        0.0000000000
         62        7.9709350487        0.0000000000        2.8990072682        0.0000010098        0.0000000000
         63        8.1762093295        0.0000000000        2.9299314788        0.0000010097        0.0000000000
         64        8.3805253435        0.0000000000        2.9590037879        0.0000010104        0.0000000000
         65        8.5836461298        0.0000000000        2.9862428242        0.0000010104        0.0000000000
         66        8.7853294168        0.0000000000        3.0116747847        0.0000010107        0.0000000000
         67        8.9853304271        0.0000000000        3.0353307537        0.0000010112        0.0000000000
         68        9.1834033122        0.0000000000        3.0572475006        0.0000010114        0.0000000000
         69        9.3792968795        0.0000000000        3.0774665792        0.0000010117        0.0000000000
