#   No. of|        Total|        Power|        Inlet|       Outlet|       Energy|       Energy|        Total|       Global|
#Timesteps|         Time|     Supplied|       Energy|       Energy|       Stored|       Stored|       Energy|       Energy|
#         |             |             |             |             |      Coolant|        Solid|      Storage|      Balance|
#         |        [sec]|         [kW]|         [kW]|         [kW]|         [kW]|         [kW]|          [%]|          [%]|
#=========================================================================================================================
        10        0.0448        0.0000      347.8272      347.3868        0.4395        0.0000   416548.8689        0.1266
        20        0.0945        0.0000      349.2465      347.3805        1.8590        0.0000  1761975.0470        0.5343
        30        0.1442        0.0000      351.3449      347.3632        3.9606        0.0000  3753953.1381        1.1333
        40        0.1938        0.0000      353.6918      347.3327        6.3147        0.0000  5985196.9191        1.7979
        50        0.2434        0.0000      355.8461      347.2906        8.4811        0.0000  8038501.2113        2.4043
        60        0.2930        0.0000      357.4765      347.2423       10.1280        0.0000  9599499.7206        2.8629
        70        0.3426        0.0000      358.4495      347.1976       11.1188        0.0000 10538559.1446        3.1391
        80        0.3922        0.0000      358.8479      347.1660       11.5319        0.0000 10930127.7667        3.2554
        90        0.4418        0.0000      358.9067      347.1708       11.5816        0.0000 10977276.4816        3.2699
       100        0.4914        0.0000      358.8796      347.3452       11.4293        0.0000 10832860.1229        3.2140
       110        0.5410        0.0000      358.8967      347.9910       10.8001        0.0000 10236533.0793        3.0387
       120        0.5906        0.0000      358.8926      349.3226        9.4856        0.0000  8990609.2790        2.6665
       130        0.6402        0.0000      358.6425      351.2386        7.7854        0.0000  7379107.3160        2.0644
       140        0.6898        0.0000      357.8872      353.4081        6.3195        0.0000  5989765.9156        1.2515
       150        0.7394        0.0000      356.4790      355.4468        5.6344        0.0000  5340367.2645        0.2896
       160        0.7891        0.0000      354.4759      357.0460        5.9919        0.0000  5679219.7140       -0.7251
       170        0.8387        0.0000      352.1488      358.0582        7.2731        0.0000  6893580.6532       -1.6781
       180        0.8884        0.0000      349.9138      358.5286        9.0173        0.0000  8546722.7816       -2.4620
       190        0.9381        0.0000      348.2181      358.6497       10.5813        0.0000 10029154.2236       -2.9957
       200        0.9878        0.0000      347.4219      358.6500       11.3661        0.0000 10772978.7028       -3.2318
       210        1.0376        0.0000      347.7000      358.6587       11.6138        0.0000 11007757.6603       -3.1518
       220        1.0873        0.0000      348.9909      358.6250       12.7579        0.0000 12092188.5684       -2.7606
       230        1.1370        0.0000      351.0156      358.3463       14.3981        0.0000 13646728.9935       -2.0884
       240        1.1867        0.0000      353.3545      357.5879       15.8848        0.0000 15055925.8296       -1.1981
       250        1.2363        0.0000      355.5606      356.2222       16.6475        0.0000 15778779.3199       -0.1861
       260        1.2859        0.0000      357.2803      354.3144       16.3973        0.0000 15541655.2230        0.8302
       270        1.3354        0.0000      358.3485      352.1245       15.2190        0.0000 14424811.2460        1.7369
       280        1.3850        0.0000      358.8177      350.0377       13.5398        0.0000 12833230.7363        2.4469
       290        1.4346        0.0000      358.9088      348.4619       11.9767        0.0000 11351735.8470        2.9107
       300        1.4842        0.0000      358.8816      347.7152       11.1534        0.0000 10571357.5910        3.1115
       310        1.5338        0.0000      358.8916      347.9466       10.8404        0.0000 10274720.1205        3.0497
       320        1.5834        0.0000      358.9021      349.1013        9.6998        0.0000  9193646.3554        2.7308
       330        1.6330        0.0000      358.7048      350.9383        8.0296        0.0000  7610604.0112        2.1651
       340        1.6826        0.0000      358.0357      353.0941        6.4946        0.0000  6155693.6518        1.3802
       350        1.7323        0.0000      356.7239      355.1736        5.6718        0.0000  5375871.3500        0.4346
       360        1.7819        0.0000      354.7944      356.8497        5.8757        0.0000  5569050.2583       -0.5793
       370        1.8315        0.0000      352.4903      357.9484        7.0452        0.0000  6677546.8550       -1.5484
       380        1.8812        0.0000      350.2134      358.4877        8.7609        0.0000  8303690.9494       -2.3627
       390        1.9309        0.0000      348.4139      358.6446       10.3924        0.0000  9850070.7132       -2.9364
       400        1.9806        0.0000      347.4714      358.6506       11.3181        0.0000 10727460.9587       -3.2173
