#   No. of|        Total|        Power|        Inlet|       Outlet|       Energy|       Energy|        Total|       Global|
#Timesteps|         Time|     Supplied|       Energy|       Energy|       Stored|       Stored|       Energy|       Energy|
#         |             |             |             |             |      Coolant|        Solid|      Storage|      Balance|
#         |        [sec]|         [kW]|         [kW]|         [kW]|         [kW]|         [kW]|          [%]|          [%]|
#=========================================================================================================================
        10        0.0448        0.0000      347.8274      347.3877        0.0000        0.0000        0.0000        0.1264
        20        0.0946        0.0000      349.2485      347.3865        0.0000        0.0000        0.0000        0.5331
        30        0.1444        0.0000      351.3519      347.3812        0.0000        0.0000        0.0000        1.1301
        40        0.1941        0.0000      353.7053      347.3707        0.0000        0.0000        0.0000        1.7909
        50        0.2439        0.0000      355.8639      347.3552        0.0000        0.0000        0.0000        2.3910
        60        0.2937        0.0000      357.4936      347.3359        0.0000        0.0000        0.0000        2.8414
        70        0.3435        0.0000      358.4607      347.3167        0.0000        0.0000        0.0000        3.1089
        80        0.3932        0.0000      358.8517      347.3020        0.0000        0.0000        0.0000        3.2185
        90        0.4430        0.0000      358.9063      347.3207        0.0000        0.0000        0.0000        3.2280
       100        0.4928        0.0000      358.8792      347.5371        0.0000        0.0000        0.0000        3.1604
       110        0.5425        0.0000      358.8977      348.2782        0.0000        0.0000        0.0000        2.9589
       120        0.5923        0.0000      358.8897      349.7308        0.0000        0.0000        0.0000        2.5520
       130        0.6421        0.0000      358.6248      351.7407        0.0000        0.0000        0.0000        1.9196
       140        0.6919        0.0000      357.8428      353.9383        0.0000        0.0000        0.0000        1.0911
       150        0.7416        0.0000      356.4018      355.9278        0.0000        0.0000        0.0000        0.1330
       160        0.7914        0.0000      354.3701      357.4202        0.0000        0.0000        0.0000       -0.8607
       170        0.8412        0.0000      352.0302      358.3102        0.0000        0.0000        0.0000       -1.7839
       180        0.8910        0.0000      349.8067      358.6871        0.0000        0.0000        0.0000       -2.5387
       190        0.9407        0.0000      348.1485      358.7649        0.0000        0.0000        0.0000       -3.0494
       200        0.9905        0.0000      347.4076      358.7598        0.0000        0.0000        0.0000       -3.2677
       210        1.0403        0.0000      347.7445      358.7679        0.0000        0.0000        0.0000       -3.1700
       220        1.0901        0.0000      349.0861      358.7108        0.0000        0.0000        0.0000       -2.7571
       230        1.1399        0.0000      351.1446      358.3788        0.0000        0.0000        0.0000       -2.0602
       240        1.1896        0.0000      353.4943      357.5473        0.0000        0.0000        0.0000       -1.1466
       250        1.2394        0.0000      355.6868      356.1075        0.0000        0.0000        0.0000       -0.1183
       260        1.2892        0.0000      357.3731      354.1446        0.0000        0.0000        0.0000        0.9034
       270        1.3390        0.0000      358.3998      351.9390        0.0000        0.0000        0.0000        1.8027
       280        1.3887        0.0000      358.8345      349.8917        0.0000        0.0000        0.0000        2.4922
       290        1.4385        0.0000      358.9078      348.4167        0.0000        0.0000        0.0000        2.9230
       300        1.4883        0.0000      358.8803      347.8260        0.0000        0.0000        0.0000        3.0802
       310        1.5380        0.0000      358.8947      348.2447        0.0000        0.0000        0.0000        2.9674
       320        1.5878        0.0000      358.8972      349.5799        0.0000        0.0000        0.0000        2.5961
       330        1.6376        0.0000      358.6668      351.5459        0.0000        0.0000        0.0000        1.9854
       340        1.6874        0.0000      357.9398      353.7427        0.0000        0.0000        0.0000        1.1726
       350        1.7371        0.0000      356.5590      355.7652        0.0000        0.0000        0.0000        0.2226
       360        1.7869        0.0000      354.5720      357.3100        0.0000        0.0000        0.0000       -0.7722
       370        1.8367        0.0000      352.2439      358.2534        0.0000        0.0000        0.0000       -1.7061
       380        1.8865        0.0000      349.9909      358.6690        0.0000        0.0000        0.0000       -2.4795
       390        1.9362        0.0000      348.2648      358.7639        0.0000        0.0000        0.0000       -3.0147
       400        1.9860        0.0000      347.4310      358.7599        0.0000        0.0000        0.0000       -3.2608
